core5,tickets,draws,score,score_per_ticket,score_per_draw,third_or_better_count,fourth_count,fifth_count,core5_5hit_count,core5_4plus_count,max_core5_matches,max_main_matches,latest_draw_no
02 10 19 24 43,490,98,411.0,0.83877551,4.19387755,1,4,22,0,5,4,5,1536
06 10 15 24 43,190,38,276.0,1.45263158,7.26315789,0,6,7,0,5,4,4,1416
10 23 24 27 38,5,1,37.0,7.4,37.0,0,0,3,0,0,2,3,895
11 19 20 35 38,5,1,35.0,7.0,35.0,0,0,2,0,0,2,3,29
02 05 27 32 37,5,1,33.0,6.6,33.0,0,0,1,0,0,2,3,1586
04 19 29 36 37,5,1,33.0,6.6,33.0,0,0,1,0,0,2,3,1995
05 19 26 37 42,5,1,33.0,6.6,33.0,0,0,1,0,0,2,3,1970
06 10 12 23 39,5,1,33.0,6.6,33.0,0,0,1,0,0,2,3,872
06 19 23 31 38,5,1,33.0,6.6,33.0,0,0,1,0,0,2,3,1210
08 12 23 34 41,5,1,33.0,6.6,33.0,0,0,1,0,0,2,3,697
10 13 27 37 38,5,1,33.0,6.6,33.0,0,0,1,0,0,2,3,823
12 14 23 28 43,5,1,33.0,6.6,33.0,0,0,1,0,0,2,3,610
05 06 12 27 38,5,1,26.0,5.2,26.0,0,0,0,0,0,2,2,942
06 15 21 32 42,5,1,26.0,5.2,26.0,0,0,0,0,0,2,2,1829
06 19 23 38 42,5,1,26.0,5.2,26.0,0,0,0,0,0,2,2,1220
10 16 19 21 43,5,1,26.0,5.2,26.0,0,0,0,0,0,2,2,1690
10 20 23 30 37,5,1,26.0,5.2,26.0,0,0,0,0,0,2,2,173
12 14 23 28 41,5,1,26.0,5.2,26.0,0,0,0,0,0,2,2,611
12 15 18 36 43,5,1,26.0,5.2,26.0,0,0,0,0,0,2,2,672
20 25 35 37 38,5,1,26.0,5.2,26.0,0,0,0,0,0,2,2,54
02 13 21 35 42,5,1,18.0,3.6,18.0,0,0,0,0,0,1,2,2083
02 23 26 35 36,5,1,18.0,3.6,18.0,0,0,0,0,0,1,2,2035
02 32 35 37 42,5,1,18.0,3.6,18.0,0,0,0,0,0,1,2,1719
03 06 19 38 42,5,1,18.0,3.6,18.0,0,0,0,0,0,1,2,1218
